date,time,tweet
2023-01-01,,resuelto muchas gracias excelente servicio siempre
2023-01-02,,muchas gracias espero mensaje directo
2023-01-02,,muchas gracias
2023-01-02,,similar paso quería renovar token poder hacer transferencia cerrar cuenta wow fácil sacar dinero ventanilla
2023-01-02,,yeeeei través cuenta acabo contratar cuenta ahorro reto tener mil pesos final año súper herramienta domiciliar cuenta eje así ahorrar disciplinadamente cada semana vamos
2023-01-02,,señal necesitan tener mínimo dinero banamex
2023-01-03,,gracias
2023-01-03,,muchas gracias
2023-01-03,,sé recomiendo inversión mejores rendimientos visto plazo días chingón límite k inversón
2023-01-04,,gracias playera dieron galerías gdl
2023-01-04,,buen díatengo problemas cuenta
2023-01-05,,gracias
2023-01-05,,respetos ustedes gracias servicio
2023-01-05,,si bloquee desbloquee pude hacer deposito oxxo gracias
2023-01-06,,bien gracias
2023-01-06,,milagro gano
2023-01-06,,si amigo jajaja padre puedes invertir da buen rendimiento
2023-01-06,,nunca ganado hahaha
2023-01-06,,cashback pude pagar servicio internet yei
2023-01-07,,gracias
2023-01-07,,listo gracias
2023-01-07,,si gracias
2023-01-08,,llegó semana después aprox
2023-01-09,,hola buen día dudas cuenta podrían ponerse contacto muchas gracias
2023-01-10,,muchas gracias
2023-01-10,,muchas gracias
2023-01-10,,bloquea tarjeta minutos posteriomente vuelves desbloquear agregas solución confirmas tweet favor
2023-01-10,,udis todas plataformas inveido mejores finsus cetes largo plazo heybanco mejor opción fondo emergencia liquidez semanal finsus rededor portafolio
2023-01-11,,excelente gracias responder atentos
2023-01-11,,pues bueno quedé cena muchas gracias
2023-01-11,,gracias igualmente bendiciones
2023-01-11,,vale esperando
2023-01-11,,muchas gracias espero respuesta
2023-01-13,,gané pesitos crédito amazon cortesía agradables sujetos
2023-01-13,,mejor
2023-01-13,,contéstenme favor
2023-01-14,,muchas gracias amables
2023-01-14,,heybanco años cliente bancomer encontre verdad agusto servicios app tarjetas debito credito
2023-01-14,,amigos mandé mensaje directo gracias
2023-01-14,,solicito ayuda gracias
2023-01-15,,graciasya respondíquedo atenta
2023-01-16,,va gracias
2023-01-16,,sé piqué muchas gracias
2023-01-16,,planeación temporada equipos gracias ocnfianza día viene bomba patrocinio vamos dobletedavilacarloss
2023-01-16,,banco
2023-01-17,,gracias
2023-01-17,,gracias
2023-01-17,,muchas gracias
2023-01-17,,muchas gracias ayudó suficiente cargo procedió poaron bien aun pude comunicar teléfono amables mil gracias interés hizo cargo
2023-01-17,,increíble gracias heybancoheybanco
2023-01-17,,contestaron
2023-01-18,,gracias
2023-01-18,,gracias
2023-01-18,,gracias
2023-01-18,,gracias pendienteestoy segura va poner pilas lleguen incentivos si pidiendo apoyo
2023-01-18,,sexta opción opción mejores pagaré días mejor mercado tasa anual solo inversión aquí plan metas dan rendimiento mes vencido dinero disponible cualquier momento
2023-01-18,,buena onda vos david disfrutarlo
2023-01-19,,gracias
2023-01-19,,hola pueden apoyar favor
2023-01-19,,agradece aviso
2023-01-19,,gracias ve reflejado solucionado gracias
2023-01-20,,listo gracias
2023-01-20,,muchas gracias
2023-01-20,,tqm
2023-01-20,,cortesía anímense sacar cuenta hey muchas gracias regalo cneiaokii
2023-01-20,,cof cof
2023-01-20,,súper recomiendo cobran plástico
2023-01-20,,afortunadamente méxico da cuenta
2023-01-21,,muchas gracias darme respuesta solucionó problema excelente día
2023-01-23,,gracias
2023-01-23,,muchas gracias equipo ayudó resolver problema dieron recompensa gané
2023-01-23,,gracias mes tocó boleto dorado
2023-01-23,,bello
2023-01-23,,aún esperanza felicitaciones
2023-01-24,,gracias
2023-01-24,,gracias
2023-01-24,,muchas gracias
2023-01-24,,gracias premio boleto dorado canjee tarjeta regalo
2023-01-24,,tío gracias boleto dorado fin tocó
2023-01-24,,mames buena suerte
2023-01-24,,segundo premio espero lleguen
2023-01-25,,gracias
2023-01-25,,gracias
2023-01-25,,hola beneficia usuarios
2023-01-26,,gracias apoyo seguimiento
2023-01-26,,gracias tío hey ayuda bastante
2023-01-26,,muchas gracias mes gratis
2023-01-27,,muchas gracias resolvió saludos
2023-01-27,,vale gracias
2023-01-27,,funcionó cayo sólo segundos raro muchas gracias
2023-01-27,,hola escribí mensaje directo par dudas tarjeta de créditogracias
2023-01-27,,gracias ser parte fc barcelona
2023-01-27,,darán crédito tradicional llevo año tarjeta credito garantía cumplido pagos tiempo forma
2023-01-28,,ok gracias
2023-01-28,,despues año probando tarjeta crédito puedo decir buena hablar cuenta débito realmente temas seguridad transacciones top tqm hey
2023-01-28,,amistad usa si usas tarjeta veces mes compras pesos vuelves heypro inversión da rendimiento anual súper súper bien comparación bancos invertir años allianz explicó prima suena rebien
2023-01-28,,excelente
2023-01-29,,gane premios
2023-01-29,,amiga explícame
2023-01-30,,muchas gracias información
2023-01-30,,gracias
2023-01-30,,vientos gracias
2023-01-30,,encantaria presumir premio boleto dorado si tan solo existiera
2023-01-31,,pueden proporcionar link invitar gente tener beneficiogracias
2023-02-01,,gracias
2023-02-01,,gracias checo
2023-02-01,,viaje financiero buena información
2023-02-01,,gracias dato cómo sorteo
2023-02-01,,buen día mepueden ayudar realizaron deposito cuenta credito necesito crédito
2023-02-02,,muchas gracias
2023-02-02,,gracias solucionó buenas tardes
2023-02-02,,realizarégracias
2023-02-02,,diciembre gane tarjeta regalo amazon ticket dorado heybanco compre estose emociona señora
2023-02-03,,funcionó mil gracias
2023-02-03,,gracias necesario buena opción momento problemas graves solo adaptarme procesos aún así creo van buen camino aunque ocasiones hagan enojar
2023-02-04,,mmm da rendimiento buena opción
2023-02-04,,gracias aumento crédito tarjeta contenta servicios
2023-02-05,,hablando ajolotes banco sacara tarjeta encanto
2023-02-07,,mejor tarjeta de crédito si pudiera realizar pagos adelantado meses intereses cuentas siendo opción excelente usuarios
2023-02-08,,casi rindo obtuve ayuda equipo soporte afortunadamente alguien aquí refirió twitter envíale mensaje privado arregló gracias contáctalo ahora
2023-02-08,,gracias ser mejor banco
2023-02-10,,heybanco pagarés semanales anual semana obtienes rendimientos puedes reinvertir siguiente pagaré forma automática generas interés compuesto rápido muchísimo mejor anual cetes
2023-02-11,,gracias
2023-02-11,,solucionado gracias
2023-02-11,,alch hechate unas investigadas cetes gmb hey cetes si ocupas investigar chido seguro hey heybanco dinero seguro rapido
2023-02-11,,excelente servicio atención clientes heybanco
